Work Code,Description,Definition,Emphasis Area_1,Emphasis Area_2,Emphasis Area_3,Facility Subset,Type of Work,Reduction Factor,Service Life,Maintenance Cost,SubGroup,Additional Docs
101,Install Warning/Guide Signs,Provide advance signing for unusual or unexpected roadway features where no signing existed previously.,0. All,,,,Other,0.2,15,0,Crosscutting - Signs and Markings,
107,Install Traffic Signal,"Provide a traffic signal where none existed previously. This does not include the installation of flashing beacons. SPICE and CAP-X analyses are required for all intersection related HSIP project submittals. See TxDOT Chief Engineer June 24, 2024 memo.",11. Intersection Related,8. Pedestrian Involved,9. Bicycle Involved,Signal,Intersection,0.2,10,"$3,400 (Isolated); $3,900 (Interconnected); $5,400 (Diamond Interchange)",Intersection - Signal,"Overhead Intersection Layout, Traffic Signal Warrants, SPICE and CAP-X analyses"
108,Improve Traffic Signals (Hardware),"Improve existing intersection signals to current design standards. Can include replacement of signal heads with retroreflective backplates, as well as upgrading wire signals with mast arms.  May also include adding and realigning curb ramps, as well as enhancements to pavement markings. SPICE and CAP-X analyses are required for all intersection related HSIP project submittals. See TxDOT Chief Engineer June 24, 2024 memo.",11. Intersection Related,8. Pedestrian Involved,9. Bicycle Involved,Signal,Intersection,0.1,10,0,Intersection - Signal,"Overhead Intersection Layout, SPICE and CAP-X analyses"
109,Implement Leading Pedestrian Interval (LPI) Timing,Adjust signal timing to allow pedestrians to enter crosswalk at intersection before vehicles are given a green indication.,8. Pedestrian Involved,,,Signal,Intersection,0.16,10,0,Ped/Bike - Signal,
110,Install Pedestrian Signal,"Provide a pedestrian signal at an existing signalized location where no pedestrian phase exists, but pedestrian crosswalks are existing, or in conjunction with WC 403. Use default RF of 34% for SII calculation. If SII < 3.0, a project-specific RF can be calculated.",8. Pedestrian Involved,,,Signal,Intersection,0.34,10,0,Ped/Bike - Signal,Overhead Intersection Layout
111,Install Signal Coordination or Adaptive Signal Timing (Interconnect Signals),Provide signal coordination; a communication link between two or more adjacent signals in a corridor. This WC can be used as an approved systemic countermeasure along a corridor when combined with WC 108.,11. Intersection Related,,,Signal,Intersection,0.1,10,0,Intersection - Signal,List and drawing of all signalized intersections to be included in the interconnection
113,Install Delineators,Install post-mounted delineators to provide guidance.,12. Roadway Departure,,,,Corridor,0.12,5,0,Departure - Object,
114,Install School Zones,"Place school zones to include signing, flashing beacons and/or pavement markings where none existed previously. Refer to WC 403 for pedestrian crosswalk markings.",8. Pedestrian Involved,,,,Corridor,0.2,5,0,Ped/Bike - Speed,
115,Install Pedestrian Countdown Timer,Add pedestrian countdown timer to existing pedestrian signals.,8. Pedestrian Involved,,,Signal,Intersection,0.5,10,0,Ped/Bike - Signal,
118,Replace Flashing Beacon with a Traffic Signal,Replace an existing flashing beacon at an intersection with a traffic signal. Districts to verify existing Overhead Flashing Beacon has exceeded its 10 yr service life.,11. Intersection Related,8. Pedestrian Involved,9. Bicycle Involved,Signal,Intersection,0.25,10,1300,Intersection - Signal,Overhead Intersection Layout
119,Install Overhead Signs,"Install overhead advance regulatory, warning or guide signing for unusual or unexpected roadway features where no signing existed previously.",11. Intersection Related,,,,Other,0.2,10,0,Crosscutting - Signs and Markings,
122,Install Advanced Warning Beacons (Intersection - Existing Warning Signs),Provide warning beacons as supplemental emphasis to warning signs in advance of an intersection where none previously existed but where advance warning signs already exist.,11. Intersection Related,,,,Intersection,0.1,10,"$1,300 per approach",Intersection - Uncontrolled,
123,Install Advanced Warning Beacons (Curve - Existing Warning Signs),Provide warning beacons as supplemental emphasis to warning signs in advance of a curve where none previously existed but where advance warning signs already exist.,12. Roadway Departure,,,Curve,Corridor,0.1,10,"$1,300 per approach",Departure - Curve,
124,Install Advanced Warning Beacons and Signs (Intersection),Provide warning beacons and signs in advance of an intersection where none previously existed.  It is now recommended to include retroreflective strips on sign posts.,11. Intersection Related,,,,Intersection,0.25,10,"$1,300 per approach",Intersection - Uncontrolled,
125,Install Advanced Warning Beacons and Signs (Curve),Provide warning beacons and signs in advance of a curve where none previously existed. It is now recommended to include retroreflective strips on sign posts.,12. Roadway Departure,,,Curve,Corridor,0.15,10,"$1,300 per approach",Departure - Curve,
128,Install Advanced Warning Signs (Intersection),Provide signs in advance of an intersection (including flashing signs) where none previously existed.  It is now recommended to include retroreflective strips on sign posts.,11. Intersection Related,,,,Intersection,0.15,15,0,Intersection - Uncontrolled,
130,Install Advanced Warning Signs (Curve),Provide signs in advance of a curve where none previously existed.  It is now recommended to include retroreflective strips on sign posts.,12. Roadway Departure,,,Curve,Corridor,0.1,15,0,Departure - Curve,
131,Improve Pedestrian Signals,Bring existing pedestrian signal units into conformance with current standards.,8. Pedestrian Involved,,,Signal,Intersection,0.1,10,0,Ped/Bike - Signal,
132,Install Advance Warning Beacons and Signs,Provide warning beacons and signs in advance of hazard where none previously existed.  It is now recommended to include retroreflective strips on sign posts.,0. All,,,,Other,0.1,10,"$1,300 per approach",Crosscutting - Signs and Markings,
133,Improve School Zone,"Improve an existing school zone by upgrading signing, pavement markings or signals.",8. Pedestrian Involved,,,,Other,0.1,5,0,Ped/Bike - Speed,
134,Install Advanced Pedestrian Crossing Signage,"Install pedestrian crossing warning signs in advance of a pedestrian crosswalk where none previously existed.  It is now recommended to include retroreflective strips on sign posts. For signing within school zones, see WC 114 and 133.",8. Pedestrian Involved,,,,Other,0.25,15,0,Ped/Bike - Uncontrolled,
136,Install LED Flashing Chevrons (Curve),Install LED flashing chevrons on curve to provide guidance. May include Dynamic LED Chevron System.,12. Roadway Departure,,,Curve,Corridor,0.35,10,0,Departure - Curve,
137,Install Chevrons (Curve),Install chevrons on curve to provide guidance.  It is now recommended to include retroreflective strips on sign posts.,12. Roadway Departure,,,Curve,Corridor,0.2,15,0,Departure - Curve,
138,Install Flashing Yellow Arrow,Improve existing intersection signals by adding a flashing yellow arrow indication and install the LEFT TURN YIELD ON FLASHING YELLOW ARROW (R10-17T) sign. Refer to WC 108 for improvement of traffic signal.,11. Intersection Related,,,Signal,Intersection,0.4,10,0,Intersection - Signal,
139,Install Surface Mounted Delineators on Centerline,Install surface mounted delineators on centerline.,13. Lane Departure,,,,Corridor,0.12,7,0,Departure - Center,
140,Wrong Way Driver Warning Signs,"Provide warning signs to warn wrong way drivers at freeway exit ramps (e.g., Oversized and Flashing LED ""Wrong Way"" and ""Do Not Enter"" signs with red retroreflective strip on sign supports). For Flashing LED signs, use SS6066 and bid code 6066-7001. For retroreflective strip, refer to D&OM(SIGN)-25; Recommended bid code is 658-7080. Systemic only.",5. Wrong Way Driving,,,,Other,0.35,10,0,Crosscutting - Wrong Way,
141,Wrong Way Driver Warning Markings,Provide markings (wrong way arrows using striping or raised pavement markers) to warn wrong way drivers at freeway exit ramps. Refer to FPM(1)-25 and SHSD Section 12. Systemic only.,5. Wrong Way Driving,,,,Other,0.4,5,0,Crosscutting - Wrong Way,
142,Wrong Way Driver Advanced Technologies,"Provide advanced technologies to detect and warn wrong way drivers at freeway exit ramps. (e.g., exit ramp detection systems and upstream DMS alerts). Requires a One Time Use Special Specification. Refer to SS6028, SS6038, SS6056, and SS6087 for examples. Systemic only.",5. Wrong Way Driving,,,,Other,0.35,5,25000,Crosscutting - Wrong Way,
143,Pedestrian Hybrid Beacon,Provide pedestrian hybrid beacon at established crosswalk or in conjunction with installation of new crosswalk (403). Requires TRF-P&S approval.,8. Pedestrian Involved,,,,Other,0.3,10,2100,Ped/Bike - Signal,
144,Install Rectangular Rapid Flashing Beacon (RRFB),Install pedestrian activated rectangular rapid flashing beacon (RRFB) at existing or in conjunction with installation of new crosswalk (403).  Requires TRF-P&S approval. Systemic only.,8. Pedestrian Involved,,,,Other,0.45,10,"$1,300 per roadside assembly",Ped/Bike - Uncontrolled,Overhead layout
145,Flashing Stop Beacon or LED-embedded Stop Signs,Install LED stop signs or stop beacons on existing stop signs at intersections where only standard stop signs are present.,11. Intersection Related,,,,Intersection,0.1,10,"$1,300 per roadside assembly",Intersection - Uncontrolled,
150,Dynamic Speed Feedback Signs,"Install permanent dynamic message speed display signs related to a regulatory speed limit or advisory speed for unexpected roadway features (curves, school zones, etc.).",1. Speed Related,,,,Other,0.05,10,0,Crosscutting - Speed,Overhead layout
151,Variable Speed Limit (VSL),Provide Variable Speed Limits where none existed previously.,1. Speed Related,,,,Other,0.3,10,0,Crosscutting - Speed,TRF-TM concurrence for proposed VSL location and limits required.
201,Install Median Barrier,"Construct a concrete or cable safety system median barrier where none existed previously. Consider existing median width, percent truck traffic, cable post spacing, material availability, maintenance cost, and inside shoulder widening when selecting CTB versus steel cable.",12. Roadway Departure,,,,Corridor,0.5,25,0,Departure - Center,Existing and Proposed Typical Sections
203,Install Raised Median,"Install a roadway divider using barrier curb. If local access is impacted, approval from the Chief Engineer is required prior to advertisement & publishing the job for letting. See the DES Proposed Raised Median Projects SOP.",8. Pedestrian Involved,,,,Corridor,0.25,20,0,Intersection - Geometric,Overhead layout
204,Flatten Side Slope,Provide an embankment side slope of 6:1 or flatter.,12. Roadway Departure,,,,Corridor,0.05,20,0,Departure - Shoulder,
209,Safety Treat Fixed Objects,"Remove, relocate, or safety treat all fixed objects including the installation of guardrail for safety treatment of a fixed object or drainage structures within the project limits, to include both point and continuous objects.",12. Roadway Departure,,,,Other,0.45,15,0,Departure - Object,
217,Install Impact Attenuation System,Provide any of a variety of impact attenuators where none existed previously.,12. Roadway Departure,,,,Corridor,0.5,10,0,Departure - Object,
218,Widen Bridge,"Provide additional width across an existing structure, either by rehabilitation or replacement. Specify existing bridge width, existing approach roadway width and roadway type (2 lane, 4 lane undivided, etc.)",12. Roadway Departure,,,,Corridor,0.5,30,0,Departure - Widening,Existing & Proposed Typical Sections
220,Truck Parking Facilities,"Construct, expand, upgrade, or re-purpose existing roadside facilities for truck parking that are eligible for funding under section 1401 of the MAP–21. Systemic only.",2. Impaired Driving,,,,Corridor,TBD,20,TBD,Crosscutting - Freight,Prposed rest stop layout including entrances and exits
225,Pedestrian Crossing Deterrent,Install attachments to existing concrete barrier systems to deter prohibited pedestrian crossings on divided highways. Systemic only.,8. Pedestrian Involved,,,,Corridor,TBD,10,TBD,Ped/Bike - Geometric,
303,Resurfacing,Provide a new roadway surface to increase pavement skid numbers on all the lanes.,12. Roadway Departure,,,,Corridor,0.2,10,0,Crosscutting - Surfacing,Skid Numbers
304,Safety Lighting (Non-Intersection),"Provide roadway lighting, either partial or continuous, where either none existed previously or major improvements are being made. Refer to WC 305 for intersection lighting.",14. Dark Conditions,,,,Corridor,0.3,15,$300 per Luminaire,Crosscutting - Lighting,
305,Safety Lighting (Intersection),Install lighting at an intersection where either none existed previously or major improvements are proposed. Refer to WC 304 for general lighting.,14. Dark Conditions,11. Intersection Related,,,Intersection,0.13,15,$300 per Luminaire,Crosscutting - Lighting,Overhead Intersection Layout
401,Install Pavement Markings,"Place complete pavement markings, excluding crosswalks, in accordance with the TMUTCD where either no markings or nonstandard markings exist.  This work code includes items such as turn arrows, stop lines, lane markings, raised pavement markers,etc. 
Refer to WC 402 for edgeline markings, WC 403 for pedestrian crosswalks, WC 404 for centerline markings.",11. Intersection Related,,,,Corridor,0.2,5,0,Crosscutting - Signs and Markings,Preliminary layout
402,Install Edgeline Marking,Place edge lines where none existed previously.,12. Roadway Departure,,,,Corridor,0.2,5,0,Departure - Shoulder,Preliminary layout
403,Install Pedestrian Crosswalk,"Place pedestrian crosswalk markings where none existed previously. Refer to WC 114 for school zones, and WC 110 for pedestrian signal.",8. Pedestrian Involved,,,,Intersection,0.1,5,0,Ped/Bike - Uncontrolled,Preliminary layout
404,Install Centerline Marking,"Provide centerline marking where either no markings or nonstandard markings existed previously. Adding centerline buffer in accordance with Standard CLB(1)-23, CLB(2)-23 may be approved under WC404 without pavement widening. Refer to WC 401 for complete pavement markings.",13. Lane Departure,,,,Corridor,0.2,5,0,Departure - Center,Preliminary layout
407,Install Sidewalks,Install new sidewalks where none currently exist including the extension of existing sidewalks. Widening existing sidewalks is not eligible.,8. Pedestrian Involved,9. Bicycle Involved,,,Corridor,0.5,20,0,Ped/Bike - Geometric,
408,Add Shared Use Path,Provide a shared used path (sidepath) adjacent to roadway physically separated from motorized vehicular traffic.,8. Pedestrian Involved,9. Bicycle Involved,,,Corridor,0.25,20,0,Ped/Bike - Geometric,Existing & Proposed Typical Sections
409,Install Pedestrian Refuge Islands,Install pedestrian median or refuge island where none existed previously.,8. Pedestrian Involved,9. Bicycle Involved,,,Intersection,0.34,25,0,Ped/Bike - Geometric,"Existing & Proposed Typical Sections, Overhead Intersection Layout"
410,Install Dedicated Bicycle Lanes,Restripe existing pavement to provide dedicated space for bike lanes.  If widening is needed use in combination with WC's 502-504,9. Bicycle Involved,9. Bicycle Involved,,,Corridor,0.27,4,0,Ped/Bike - Bicycle,Proposed typical section
502,Widen Lane(s),"Provide additional width to the lane(s). A  Refer to WC 517 if adding a through lane. Consider Standard CLB(1)-23, CLB(2)-23 for adding centerline buffer for undivided facilities.",12. Roadway Departure,,,,Corridor,0.15,20,0,Departure - Widening,Typical Section
503,Widen Paved Shoulder (to 5 ft. or less),Extend the existing paved shoulder to achieve desirable shoulder width. Refer to WC 504 or 537 for constructing a paved shoulder.,12. Roadway Departure,,,,Corridor,0.2,20,0,Departure - Shoulder,Typical Section
504,Construct Paved Shoulders (1-4 ft.),Provide paved shoulders of 1- to 4-foot width where no shoulders existed previously. Refer to WC 503 or 536 for widening paved shoulders.,12. Roadway Departure,,,,Corridor,0.25,20,0,Departure - Shoulder,Typical Section
505,Improve Vertical Alignment,Reconstruct the roadway to improve sight distance.,13. Lane Departure,,,,Corridor,0.35,20,0,Intersection - Geometric,
506,Improve Horizontal Alignment,"Flatten existing curves. Refer to WC 507 for providing superelevation, and WC 508 for intersection realignment.",12. Roadway Departure,,,,Corridor,0.5,20,0,Departure - Curve,
507,Increase Superelevation,"Provide increased superelevation on an existing curve. Use default RF of 20% for SII calculation. If SII < 3.0, a project-specific RF can be calculated.",12. Roadway Departure,,,,Corridor,0.2,20,0,Departure - Curve,
508,Realign Intersection,"Improve an existing intersection by partial or complete relocation of the roadway(s). Refer to WC 509 for channelization, and WC 506 for improving horizontal alignments.",11. Intersection Related,,,,Intersection,0.5,10,0,Intersection - Geometric,Proposed Overhead Intersection View
509,Channelization,Install islands and/or pavement markings to control or prohibit vehicular movements. A sketch of the proposed channelization should be provided. Refer to WC 508 for intersection realignment.,11. Intersection Related,,,,Intersection,0.25,10,0,Intersection - Geometric,Proposed Overhead View
510,Construct Turn Arounds,Provide turnarounds at an intersection where none existed previously.,11. Intersection Related,,,,Intersection,0.25,20,0,Intersection - ICE,Overhead Intersection View
515,Construct Interchange,Construct vertical separation of intersecting roadways to include interconnecting ramps.,11. Intersection Related,,,,Other,0.5,30,0,Intersection - ICE,Overhead View
516,Close Crossover,Permanently close an existing crossover.,11. Intersection Related,,,,Other,0.5,20,0,Intersection - Geometric,
517,Add Through Lane,Provide an additional travel lane.,13. Lane Departure,,,,Corridor,0.25,20,0,Departure - Widening,Typical Section
518,Install Continuous Turn Lane,Provide a continuous two-way left turn lane where none existed previously.,11. Intersection Related,,,,Intersection,0.3,20,0,"Intersection - Geometric, Turn Lane",Typical Section
519,Add Left Turn Lane,Provide an exclusive left turn lane where none existed previously. The affected intersection approaches must be specified.,11. Intersection Related,,,,Intersection,0.25,20,0,"Intersection - Geometric, Turn Lane","Typical Section, Overhead proposed layout"
520,Lengthen Left Turn Lane,Provide additional length to an existing exclusive left turn lane. Affected intersection approaches must be specified.,11. Intersection Related,,,,Intersection,0.4,20,0,"Intersection - Geometric, Turn Lane",
521,Add Right Turn Lane,Provide an exclusive right turn lane where none existed previously. Affected intersection approaches must be specified.,11. Intersection Related,,,,Intersection,0.25,20,0,"Intersection - Geometric, Turn Lane","Typical Section, Overhead proposed layout"
522,Lengthen Right Turn Lane,Provide additional length to an existing exclusive right turn lane. Affected intersection approaches must be specified.,11. Intersection Related,,,,Intersection,0.3,20,0,"Intersection - Geometric, Turn Lane",
523,Construct Pedestrian Over/Under Pass,Construct a pedestrian crossover where none existed previously.,8. Pedestrian Involved,,,,Other,0.9,30,0,Ped/Bike - Geometric,
524,Increase Turning Radius,Provide an increased turning radius at an existing intersection.,11. Intersection Related,,,,Intersection,0.1,10,0,Intersection - Geometric,Overhead Intersection View
525,Convert to One Way Frontage Roads,"Convert two-way frontage roads to one-way operation. If a district elects to maintain two-way frontage road operation within the limits of an HSIP project, approval through Design Division will be required.",13. Lane Departure,,,,Corridor,0.5,20,0,Crosscutting - Wrong Way,
526,Positive Offset Left-turn Lanes,Add positive offset to existing left-turn lane(s) at an intersection.,11. Intersection Related,,,,Intersection,0.3,20,0,"Intersection - Geometric, Turn Lane",Proposed Intersection Layout
532,Milled Edgeline Rumble Strips,Install continuous milled depressions (rumble stripes or rumble strips) along the edgeline.  Stand-alone rumble strip project proposals will not be accepted.,12. Roadway Departure,,,,Corridor,0.15,10,0,Departure - Shoulder,
533,Profile Edgeline Markings,Install profile edgeline markings.  Stand-alone rumble strip project proposals will not be accepted.,12. Roadway Departure,,,,Corridor,7.0000000000000007E-2,5,0,Departure - Shoulder,
534,Raised Edgeline Rumble Strips,Install non-reflective raised traffic buttons (yellow or white) along the edgeline.  Stand-alone rumble strip project proposals will not be accepted.,12. Roadway Departure,,,,Corridor,0.1,5,0,Departure - Shoulder,
536,Widen Paved Shoulders (to >5 ft.),Extend the existing paved shoulder to greater than 5 ft. Refer to WC 504 or 537 for constructing a paved shoulder.,12. Roadway Departure,,,,Corridor,0.3,20,0,Departure - Shoulder,Typical Section
537,Construct Paved Shoulders (>= 5ft.),Provide paved shoulders 5 feet or greater where no shoulders existed previously. Refer to WC 503 or 536 for widening paved shoulders.,12. Roadway Departure,,,,Corridor,0.4,20,0,Departure - Shoulder,Typical Section
538,Convert 2 Lane Facility to 4 Lane Divided,Convert an existing 2-lane facility to a 4-lane divided facility.,13. Lane Departure,,,,Corridor,0.45,20,0,Departure - Widening,Typical Section
540,Install Passing Lanes on 2 Lane Road,Widen roadway to install passing lanes on a 2-lane roadway where none currently exist.,13. Lane Departure,,,,Corridor,0.25,20,0,Departure - Widening,Typical Section
541,Provide Additional Paved Surface Width,"Provide additional paved surface width with appropriate subsurface to each side of two lane, two-way roadways with existing paved surface width less than 24' to a maximum width of 28'. (Existing widths of 24+ feet in need of widening, and additional pavement width beyond 28 feet may be considered on a case-by-case basis in accordance with requirements in the Roadway Design Manual)",12. Roadway Departure,,,,Corridor,0.3,20,0,Departure - Widening,Typical Section
542,Milled Centerline Rumble Strips,Install milled centerline rumble strips along the centerline. Stand-alone  rumble strip project proposals will not be accepted.,13. Lane Departure,,,,Corridor,0.15,10,0,Departure - Center,
543,Profile Centerline Markings,Install profile centerline markings and preformed thermoplastic strips along the centerline. Stand-alone centerline rumble strip project proposals will not be accepted.,13. Lane Departure,,,,Corridor,7.0000000000000007E-2,5,0,Departure - Center,
544,Raised Centerline Rumble Strips,Install non-reflective raised traffic buttons (yellow or black) and preformed thermoplastic strips along the centerline. Stand-alone centerline rumble strip project proposals will not be accepted.,13. Lane Departure,,,,Corridor,0.1,5,0,Departure - Center,
545,Transverse Rumble Strips,Install transverse or in-lane rumble strips in advance of a high incident and special geometric location.,11. Intersection Related,,,,Corridor,0.15,10,0,Intersection - Uncontrolled,
547,Construct a Single-Lane Roundabout,Convert an existing intersection to a single lane roundabout design,11. Intersection Related,,,,Intersection,0.5,20,0,Intersection - ICE,Overhead intersection layout
550,Restricted Crossing U-Turn (RCUT),Convert intersection to restricted crossing U-turn (RCUT) intersection.,11. Intersection Related,,,,Intersection,0.4,20,0,Intersection - ICE,Overhead intersection layout
551,Median U-Turn (MUT),Convert intersection to median U-Turn (MUT) intersection that replaces direct left turns at an intersection with indirect left turns using a U-turn movement in a wide median. Refer to RDM Appendix E: Section 4,11. Intersection Related,,,,Intersection,0.3,20,0,Intersection - ICE,Overhead intersection layout
